id,name,description
L20674312,Arroyo Porongos," country: UY, region: UY-FS (""Las Muchas"")"
L9720943,Camino Carlos Martinez Moreno," country: UY, region: UY-MA ((IBA) Esteros del Arroyo Maldonado)"
L2762433,Área general," country: UY, region: UY-MA ((IBA) Esteros del Arroyo Maldonado)"
L20859972,Área General," country: UY, region: UY-FD (25 de Agosto)"
L4720065,AP François Margat," country: UY, region: UY-CA (AP François Margat)"
L3989437,Brazo Sur," country: UY, region: UY-MA (AP Laguna Garzón)"
L17555580,Puesto Guardaparques," country: UY, region: UY-RO (AP Laguna Garzón)"
L847029,Área general," country: UY, region: UY-MA (AP Laguna Garzón)"
L16669997,AP Monumento Natural Grutas del Palacio," country: UY, region: UY-FS (AP Monumento Natural Grutas del Palacio)"
L4074760,Parque Lineal," country: UY, region: UY-AR (AP Rincón de Franquía)"
L7359934,Puerto Pedregullo," country: UY, region: UY-AR (AP Rincón de Franquía)"
L4337770,Área General," country: UY, region: UY-RV (AP Valle del Lunarejo)"
L2761557,Abra de Perdomo," country: UY, region: UY-MA (Abra de Perdomo)"
L5488466,Abrazo del Solís Grande," country: UY, region: UY-MA (Abrazo del Solís Grande)"
L18643751,Acceso a Puerto Viejo," country: UY, region: UY-RN (Acceso a Puerto Viejo)"
L9315702,Aeropuerto Internacional de Carrasco," country: UY, region: UY-CA (Aeropuerto Internacional de Carrasco)"
L2763687,"Aguas Blancas, Lavalleja"," country: UY, region: UY-LA (Aguas Blancas, Lavalleja)"
L2763594,Balneario," country: UY, region: UY-RO (Aguas Dulces)"
L10817953,Aguas Internacionales (250 millas)," country: UY, region: UY-RO (Aguas Internacionales (250 millas))"
L10231011,56.7545636)," country: UY, region: UY-PA (Alrededores de Rio Queguay ()"
L8621942,Bosque Psamófilo," country: UY, region: UY-RO (Altos de Costa Azul)"
L15631108,Área General," country: UY, region: UY-TA (Ansina)"
L4419114,Arboretum Luissich," country: UY, region: UY-MA (Arboretum Luissich)"
L15706304, Tramo al Norte del Arroyo Valizas," country: UY, region: UY-RO (Area protegida Laguna de Castillos)"
L15849757,Arenera Balear," country: UY, region: UY-FD (Arenera Balear)"
L2761760,Arenitas Blancas," country: UY, region: UY-SA (Arenitas Blancas)"
L2762111, Ruta 26," country: UY, region: UY-SA (Arerunguá)"
L604250,Área General," country: UY, region: UY-SA (Arerunguá)"
L2761751,Arroyo Aigua," country: UY, region: UY-DU (Arroyo Aigua)"
L2763084,"Arroyo Cañas Sierra de los Rios, Cerro Largo"," country: UY, region: UY-CL (Arroyo Cañas Sierra de los Rios, Cerro Largo)"
L2762021,Arroyo Colorado," country: UY, region: UY-CA (Arroyo Colorado)"
L16924667,Arroyo Guaviyú," country: UY, region: UY-AR (Arroyo Guaviyú)"
L2762627,Arroyo Itacumbú," country: UY, region: UY-AR (Arroyo Itacumbú)"
L2762018,Arroyo José Ignacio," country: UY, region: UY-MA (Arroyo José Ignacio)"
L5117497,Arroyo La Tomasa," country: UY, region: UY-PA (Arroyo La Tomasa)"
L2763618,"Arroyo Las Pavas, Trenta y Tres"," country: UY, region: UY-TT (Arroyo Las Pavas, Trenta y Tres)"
L12539095,Ruta Perimetral," country: UY, region: UY-MA (Arroyo Maldonado)"
L2761610,Desembocadura," country: UY, region: UY-CA (Arroyo Pando)"
L2761638,Puente Interbalnearia," country: UY, region: UY-CA (Arroyo Pando)"
L2761687, zona La Palma/Ruta 30," country: UY, region: UY-RV (Arroyo Rubio Chico)"
L6441150,Desembocadura," country: UY, region: UY-CA (Arroyo Sarandí)"
L2762174,Desembocadura," country: UY, region: UY-CA (Arroyo Solis Chico)"
L10048936, Interbalnearia," country: UY, region: UY-MA (Arroyo Solís Grande)"
L2762208,Arroyo Tala," country: UY, region: UY-CA (Arroyo Tala)"
L4312471,Desembocadura," country: UY, region: UY-MA (Arroyo Tarariras)"
L11394606,Arroyo Tres Cruces y Ruta 30," country: UY, region: UY-AR (Arroyo Tres Cruces y Ruta 30)"
L17325063,Humedales R26," country: UY, region: UY-TA (Arroyo Yaguarí)"
L11632530,Arroyo Yucutujá y Ruta 30," country: UY, region: UY-AR (Arroyo Yucutujá y Ruta 30)"
L20378210,Arroyo el Potrero," country: UY, region: UY-MA (Arroyo el Potrero)"
L11420861,Área General," country: UY, region: UY-CA (Atlántida)"
L7618132,Zona Cerro," country: UY, region: UY-MO (Bahía de Montevideo)"
L20655880,"Balneario Don Ricardo ""Porongos"""," country: UY, region: UY-FS (Balneario Don Ricardo ""Porongos"")"
L2761890,Lago 1," country: UY, region: UY-TA (Balneario Iporá)"
L2761774,Lago 2," country: UY, region: UY-TA (Balneario Iporá)"
L5000346,Área General," country: UY, region: UY-CL (Balneario Lago Merin)"
L2763052,Área general," country: UY, region: UY-MA (Balneario Las Flores)"
L9205725,Balneario Santa Ana," country: UY, region: UY-CO (Balneario Santa Ana)"
L2762984,Balsa Arroyo Negro," country: UY, region: UY-PA (Balsa Arroyo Negro)"
L2761482,Área general," country: UY, region: UY-RO (Barra de Valizas)"
L2761714,Balneario," country: UY, region: UY-RO (Barra del Chuy)"
L19352830,Barrio El Chorro," country: UY, region: UY-MA (Barrio El Chorro)"
L5141185,Barrio Histórico," country: UY, region: UY-CO (Barrio Histórico)"
L1329196,Bañadito de Abente y alrededores," country: UY, region: UY-CA (Bañadito de Abente y alrededores)"
L14951783,Bañadito de Sofía," country: UY, region: UY-CA (Bañadito de Sofía)"
L2761987,Bañado Bonilla," country: UY, region: UY-TA (Bañado Bonilla)"
L2761624,Bañado Las Maravillas," country: UY, region: UY-RO (Bañado Las Maravillas)"
L6107293,Bañado Safon," country: UY, region: UY-TA (Bañado Safon)"
L2762064,"Bañado de Medina, Cerro Largo"," country: UY, region: UY-CL (Bañado de Medina, Cerro Largo)"
L604232,Bañado del Indio," country: UY, region: UY-RO (Bañado del Indio)"
L20799478,Bañados San Carlos Sur," country: UY, region: UY-MA (Bañados San Carlos Sur)"
L2761506,Bañados de Carrasco," country: UY, region: UY-CA (Bañados de Carrasco)"
L10933278,Laguna Merín," country: UY, region: UY-CL (Bañados y Dunas)"
L18179168,Cañada Sta. Rosa y Parque Gral. Rivera," country: UY, region: UY-AR (Bella Unión)"
L12699124,Área General," country: UY, region: UY-AR (Bella Unión)"
L9617025,Bella Vista," country: UY, region: UY-PA (Bella Vista)"
L2763516,Balneario," country: UY, region: UY-MA (Bella Vista)"
L4349642,Bio Parque de Melo," country: UY, region: UY-CL (Bio Parque de Melo)"
L11426053,Punta del Este," country: UY, region: UY-MA (Boca Chica)"
L4603426,Sede," country: UY, region: UY-RN (COA Fray Bentos)"
L17469695,Colonia de Garzas," country: UY, region: UY-SA (CTM Salto Grande)"
L9217648,CURE Maldonado," country: UY, region: UY-MA (CURE Maldonado)"
L13323049,Sede Rocha," country: UY, region: UY-RO (CURE)"
L2762047,Cabaña San Gerardo (Uruguay 1)," country: UY, region: UY-LA (Cabaña San Gerardo (Uruguay 1))"
L2762039,Cabaña San Gerardo (Uruguay 2)," country: UY, region: UY-LA (Cabaña San Gerardo (Uruguay 2))"
L604216,Cabo Polonio," country: UY, region: UY-RO (Cabo Polonio)"
L2761907,"Cabo Polonio, Rincón de Valizas."," country: UY, region: UY-RO (Cabo Polonio, Rincón de Valizas.)"
L2761915,Playa Norte," country: UY, region: UY-RO (Cabo Polonio)"
L17207913,Calera de las Huérfanas," country: UY, region: UY-CO (Calera de las Huérfanas)"
L12612085,Calera del Rey," country: UY, region: UY-MA (Calera del Rey)"
L6432216,Camino Américas Unidas," country: UY, region: UY-MA (Camino Américas Unidas)"
L6495076,Camino Eduardo Pérez," country: UY, region: UY-CA (Camino Eduardo Pérez)"
L20223222,Camino Estancia San José," country: UY, region: UY-SA (Camino Estancia San José)"
L19461319,Bañado lado Uruguay," country: UY, region: UY-CL (Camino Internacional)"
L6432136,Camino Medellín," country: UY, region: UY-MA (Camino Medellín)"
L11304103,"Camino Sierra del Carapé, Maldonado"," country: UY, region: UY-MA (Camino Sierra del Carapé, Maldonado)"
L18179367,Camino Tío Bartolo," country: UY, region: UY-TA (Camino Tío Bartolo)"
L18570017,Camino a Colonia Wilson," country: UY, region: UY-CL (Camino a Colonia Wilson)"
L5067553,Camino a Franquía," country: UY, region: UY-AR (Camino a Franquía)"
L21012991,Camino a La Gloria," country: UY, region: UY-CL (Camino a La Gloria)"
L11175605,Camino a La Riviera," country: UY, region: UY-RO (Camino a La Riviera)"
L21013092,Camino a Paso Centurión," country: UY, region: UY-CL (Camino a Paso Centurión)"
L9927187,Camino a Paso Chamizo," country: UY, region: UY-CA (Camino a Paso Chamizo)"
L4046497,Camino a Paso de la Cruz," country: UY, region: UY-AR (Camino a Paso de la Cruz)"
L17394910,Camino a Paso del Cerro," country: UY, region: UY-TA (Camino a Paso del Cerro)"
L10868176,Camino a Saiza," country: UY, region: UY-RO (Camino a Saiza)"
L2762212,Camino a Tapia," country: UY, region: UY-CA (Camino a Tapia)"
L16352754,Camino a la Laguna de Rocha," country: UY, region: UY-RO (Camino a la Laguna de Rocha)"
L11175398,Camino al Paso de la Cantera," country: UY, region: UY-MA (Camino al Paso de la Cantera)"
L17955103,Camino de los Ahogados," country: UY, region: UY-FS (Camino de los Ahogados)"
L2763566,"Camino de los Horneros, Canelones"," country: UY, region: UY-CA (Camino de los Horneros, Canelones)"
L19461318,Camino del Cerro Largo," country: UY, region: UY-CL (Camino del Cerro Largo)"
L2761794,Camino del Indio," country: UY, region: UY-RO (Camino del Indio)"
L2761755,Camino entre la ruta 45 y San José de Mayo," country: UY, region: UY-SJ (Camino entre la ruta 45 y San José de Mayo)"
L16029320,Campamento La Muralla," country: UY, region: UY-LA (Campamento La Muralla)"
L4021565,Camping Arequita," country: UY, region: UY-LA (Camping Arequita)"
L17395192,Camping El Charrúa," country: UY, region: UY-TA (Camping El Charrúa)"
L16421256,Camping Natural Paso Del Sordo," country: UY, region: UY-FD (Camping Natural Paso Del Sordo)"
L2763581,Camping Puerto Viejo," country: UY, region: UY-RN (Camping Puerto Viejo)"
L16999589,Camping Punta Ballena," country: UY, region: UY-MA (Camping Punta Ballena)"
L604287,Campo Chico," country: UY, region: UY-MA (Campo Chico)"
L16215545,Campo Placeres," country: UY, region: UY-AR (Campo Placeres)"
L2762222,Campos cercanos a Paso Real," country: UY, region: UY-CL (Campos cercanos a Paso Real)"
L4908902,Campos del Arroyo Guaviyú," country: UY, region: UY-AR (Campos del Arroyo Guaviyú)"
L2761852,"Canelón chico, Ruta 107, Canelones"," country: UY, region: UY-CA (Canelón chico, Ruta 107, Canelones)"
L7993967,Cangrejal del Solís Chico," country: UY, region: UY-CA (Cangrejal del Solís Chico)"
L4720406,Capilla de Farruco," country: UY, region: UY-DU (Capilla de Farruco)"
L21191852,Casa Bergen," country: UY, region: UY-MA (Casa Bergen)"
L11659590,Casona de Piedra," country: UY, region: UY-CA (Casona de Piedra)"
L20235615,Área General," country: UY, region: UY-PA (Castillo Morató)"
L11032299,Ruta 13," country: UY, region: UY-RO (Cañada de India Muerta)"
L2762107,"Cañada de la Canelera Ruta 31 Km 191,8 Dept. Tacuarembo (Uruguay 2)"," country: UY, region: UY-TA (Cañada de la Canelera Ruta 31 Km 191,8 Dept. Tacuarembo (Uruguay 2))"
L7271645,Cañada de la Guardia Vieja," country: UY, region: UY-CL (Cañada de la Guardia Vieja)"
L16524625,Ceibales entrada Laguna de Rocha," country: UY, region: UY-RO (Ceibales entrada Laguna de Rocha)"
L15788493,Cementerio Británico," country: UY, region: UY-MO (Cementerio Británico)"
L16177340,Cementerio Parque del Recuerdo," country: UY, region: UY-CA (Cementerio Parque del Recuerdo)"
L2762225,Cementerio central paysandu," country: UY, region: UY-PA (Cementerio central paysandu)"
L2761403,Cerro Arequita," country: UY, region: UY-LA (Cerro Arequita)"
L6328455,Cerro Catedral (Mirador Nacional)," country: UY, region: UY-MA (Cerro Catedral (Mirador Nacional))"
L9239776,Cerro Minuano," country: UY, region: UY-MA (Cerro Minuano)"
L2762180,Cerro Pan de Azucar," country: UY, region: UY-MA (Cerro Pan de Azucar)"
L12004947, Rincon de la Aldea," country: UY, region: UY-TA (Cerro Pastoreo)"
L2761841,Cerro Verde  8a Sec Depto de Rivera," country: UY, region: UY-DU (Cerro Verde  8a Sec Depto de Rivera)"
L11219966,Área General," country: UY, region: UY-MA (Cerro del Toro)"
L10453005,Cerro y Laguna de los Cuervos," country: UY, region: UY-LA (Cerro y Laguna de los Cuervos)"
L2763019,Pueblo," country: UY, region: UY-MA (Cerros Azules)"
L2763452,"Chacra Alicia Martínez,  Las Piedras"," country: UY, region: UY-CA (Chacra Alicia Martínez,  Las Piedras)"
L4010834,Chacra La Victoria," country: UY, region: UY-PA (Chacra La Victoria)"
L12717507,Arroyo El Potrero," country: UY, region: UY-MA (Chihuahua)"
L7415444,Circuito Higuerita (La aviación)," country: UY, region: UY-LA (Circuito Higuerita (La aviación))"
L4702608,Laguna de Rocha," country: UY, region: UY-RO (Circuito Laguna Garzón)"
L7790280,Isla de Lobos," country: UY, region: UY-MA (Circuito Puerto Pta. del Este)"
L4879552,Circuito a Quebrada de los cuervos," country: UY, region: UY-TT (Circuito a Quebrada de los cuervos)"
L4476510,"Circuito: La Floresta, Costa Azul y Guazuvirá"," country: UY, region: UY-CA (Circuito: La Floresta, Costa Azul y Guazuvirá)"
L11832554, Isla Gorriti," country: UY, region: UY-MA (Circuito: Puerto Pta. del Este)"
L12090173,Ciudad Vieja," country: UY, region: UY-MO (Ciudad Vieja)"
L2761548,Área general," country: UY, region: UY-CA (Ciudad de la Costa y Costa de Oro)"
L2761797,Club de Golf de Montevideo," country: UY, region: UY-MO (Club de Golf de Montevideo)"
L21339987,Cno Paso los Molles," country: UY, region: UY-FS (Cno Paso los Molles)"
L21340759,Oeste," country: UY, region: UY-FS (Cno Paso los Molles)"
L16087293,Cno. El Tala," country: UY, region: UY-DU (Cno. El Tala)"
L12629420,Colonia Gestido," country: UY, region: UY-SA (Colonia Gestido)"
L19749800,Colonia Itapebí," country: UY, region: UY-SA (Colonia Itapebí)"
L6695164,Área General," country: UY, region: UY-SA (Colonia Lavalleja)"
L20898731,Colonia Osimani," country: UY, region: UY-SA (Colonia Osimani)"
L2762563,Colonia Palma y alrededores," country: UY, region: UY-AR (Colonia Palma y alrededores)"
L8505156,Colonia Wilson," country: UY, region: UY-SJ (Colonia Wilson)"
L10221934,Sector Oeste," country: UY, region: UY-SJ (Colonia Wilson)"
L2761711,Área General," country: UY, region: UY-CO (Colonia del Sacramento)"
L16650309,Complejo Parque Posadas," country: UY, region: UY-MO (Complejo Parque Posadas)"
L20828960,Complejo Turístico Flores," country: UY, region: UY-FS (Complejo Turístico Flores)"
L18653353,Área General," country: UY, region: UY-PA (Constancia)"
L4018382,Corredor biológico Margat," country: UY, region: UY-CA (Corredor biológico Margat)"
L17406334,Norte," country: UY, region: UY-SA (Costanera)"
L17406080,Sur," country: UY, region: UY-SA (Costanera)"
L6942069,Cruce con ruta 26," country: UY, region: UY-CL (Cruce con ruta 26)"
L12157590,Cuchilla de Laureles," country: UY, region: UY-TA (Cuchilla de Laureles)"
L2761763,Cuchilla del Ombú," country: UY, region: UY-TA (Cuchilla del Ombú)"
L2761815,Desembocadura Arroyo Carrasco," country: UY, region: UY-CA (Desembocadura Arroyo Carrasco)"
L19896142,Desembocadura Arroyo Maldonado," country: UY, region: UY-MA (Desembocadura Arroyo Maldonado)"
L2762132,Desembocadura Arroyo Tropa Vieja," country: UY, region: UY-CA (Desembocadura Arroyo Tropa Vieja)"
L2761911,Desembocadura Arroyo Valizas," country: UY, region: UY-RO (Desembocadura Arroyo Valizas)"
L2762255,Desembocadura Arroyo el Bagre," country: UY, region: UY-CA (Desembocadura Arroyo el Bagre)"
L12046414,Desembocadura Arroyo la Tuna," country: UY, region: UY-CA (Desembocadura Arroyo la Tuna)"
L5828656,Desembocadura Solís Grande," country: UY, region: UY-MA (Desembocadura Solís Grande)"
L10167594,Desembocadura arroyo," country: UY, region: UY-MA (Desembocadura arroyo)"
L4922808,Desembocadura del Río Yaguarón," country: UY, region: UY-CL (Desembocadura del Río Yaguarón)"
L11987110,Río San Salvador," country: UY, region: UY-SO (Dolores)"
L2761647,Las Brujas," country: UY, region: UY-SJ (Ea. El Espinillo)"
L8376162,El Ejido," country: UY, region: UY-TT (El Ejido)"
L17172687,Valle del Lunarejo," country: UY, region: UY-RV (El Gavilan)"
L2761621,El Pinar," country: UY, region: UY-CA (El Pinar)"
L17279788,El Proyecto," country: UY, region: UY-TT (El Proyecto)"
L15286471,Embalse Arrocera," country: UY, region: UY-RO (Embalse Arrocera)"
L5489480,Embalse Punta Negra," country: UY, region: UY-MA (Embalse Punta Negra)"
L12164560,Canteras," country: UY, region: UY-CA (Empalme Olmos)"
L19102103,Entrada Norte a Balneario Guazuvirá," country: UY, region: UY-CA (Entrada Norte a Balneario Guazuvirá)"
L14960984,Explanada de los pescadores," country: UY, region: UY-MO (Escollera Sarandí)"
L11886058,Esquina Américo Chiriff," country: UY, region: UY-MA (Esquina Américo Chiriff)"
L2761560,"Establ. La Goyavière, San Carlos"," country: UY, region: UY-MA (Establ. La Goyavière, San Carlos)"
L2761824,Cuchilla de Laureles," country: UY, region: UY-TA (Establecimiento Bichadero)"
L604222,Establecimiento Guardia del Monte (Rural/Turístico)," country: UY, region: UY-RO (Establecimiento Guardia del Monte (Rural/Turístico))"
L4504433,Establecimiento La Macarena," country: UY, region: UY-CA (Establecimiento La Macarena)"
L13377620,Establecimiento Laguna Dorada," country: UY, region: UY-MA (Establecimiento Laguna Dorada)"
L5950364,Establecimiento Las Sirigmas," country: UY, region: UY-CA (Establecimiento Las Sirigmas)"
L2762053,Establecimiento Rural Don Sánchez," country: UY, region: UY-TT (Establecimiento Rural Don Sánchez)"
L15372153,Establecimiento Ñangapiré," country: UY, region: UY-TA (Establecimiento Ñangapiré)"
L2762176,Estacion Jorge Sosa Diaz," country: UY, region: UY-CA (Estacion Jorge Sosa Diaz)"
L3336349,Estación Atlántida," country: UY, region: UY-CA (Estación Atlántida)"
L10133552, Barrancas de Melilla," country: UY, region: UY-MO (Estación Biológica BEC)"
L2761922,Estación Biológica Potrerillo de Santa Teresa," country: UY, region: UY-RO (Estación Biológica Potrerillo de Santa Teresa)"
L10084958,Facultad de Ciencias," country: UY, region: UY-CA (Estación Biológica Rincón del Santa Lucía)"
L4452121,"Estancia Barra Grande, Rocha."," country: UY, region: UY-RO (Estancia Barra Grande, Rocha.)"
L12968229,Estancia El Ceibo," country: UY, region: UY-FD (Estancia El Ceibo)"
L2761838,Estancia El Ceibo," country: UY, region: UY-FD (Estancia El Ceibo)"
L2762890,Estancia El Charabón," country: UY, region: UY-RO (Estancia El Charabón)"
L2762227,Estancia El Sauce," country: UY, region: UY-DU (Estancia El Sauce)"
L1331708,Estancia La Paz," country: UY, region: UY-PA (Estancia La Paz)"
L2761443,"Puntas del Chuy, Sec.4º"," country: UY, region: UY-CL (Estancia La Silvana)"
L4234778,Estancia Las Margaritas," country: UY, region: UY-TT (Estancia Las Margaritas)"
L2761836,"Estancia Los Plátanos, Treinta y Tres"," country: UY, region: UY-LA (Estancia Los Plátanos, Treinta y Tres)"
L8369715,Estancia Olimar," country: UY, region: UY-TT (Estancia Olimar)"
L2762740,Estancia Puesto del Medio," country: UY, region: UY-LA (Estancia Puesto del Medio)"
L2762772,Estancia Santa Ema," country: UY, region: UY-FD (Estancia Santa Ema)"
L13475582,Estancia Termal San Nicanor," country: UY, region: UY-PA (Estancia Termal San Nicanor)"
L10113100,Estancia Vik," country: UY, region: UY-MA (Estancia Vik)"
L2761457,"Estancia Ypoa, Rivera"," country: UY, region: UY-TA (Estancia Ypoa, Rivera)"
L12699188,Estancia el cangué," country: UY, region: UY-PA (Estancia el cangué)"
L2762071,"Estancia y Represa Don Homero, Ruta 44, Km 35"," country: UY, region: UY-CL (Estancia y Represa Don Homero, Ruta 44, Km 35)"
L4236117,Estero de las Pelotas," country: UY, region: UY-RO (Estero de las Pelotas)"
L7787065,El Tesoro," country: UY, region: UY-MA (Esteros del Aº Maldonado)"
L7069805,El Tesoro II," country: UY, region: UY-MA (Esteros del Aº Maldonado)"
L604230,Sector Sureste," country: UY, region: UY-MA (Esteros del Aº Maldonado)"
L13962677,Udelar," country: UY, region: UY-MO (Facultad de Agronomía)"
L4382278,UdelaR," country: UY, region: UY-MO (Facultad de Ciencias)"
L2761701,Montevideo," country: UY, region: UY-MO (Facultad de Veterinaria)"
L2761580,Faro Punta Carretas," country: UY, region: UY-MO (Faro Punta Carretas)"
